,Country,Oil,Gas,Coal
8,Argentina,39.17588033884297,24.549251966942148,4.270144719008265
24,Bolivia,3.4581186170212765,1.785450489361702,0.004056085106382979
28,Brazil,94.60059345454545,10.985964173553718,20.5751762892562
40,Chile,13.30383473553719,2.6444248181818186,7.668654578512396
43,Colombia,18.13847494059406,6.576573069306931,7.460372673267327
59,Ecuador,10.284044761904761,0.32383695238095234,0.0
163,Paraguay,2.452277958333333,0.0,0.0006039583333333334
164,Peru,11.7893396446281,2.086583404958678,0.9904977520661157
223,Uruguay,3.8960707555555554,0.03225635555555555,0.04538963333333333
226,Venezuela,35.723059819819824,21.415512702702703,0.34036504504504506
